,ID,innings,overs,ballnumber,batter,bowler,non-striker,extra_type,batsman_run,extras_run,total_run,non_boundary,isWicketDelivery,player_out,kind,fielders_involved,BattingTeam
457,1312199,2,16,2,JC Buttler,JR Hazlewood,D Padikkal,,2,0,2,0,0,,,,Rajasthan Royals
458,1312199,2,16,3,JC Buttler,JR Hazlewood,D Padikkal,,4,0,4,0,0,,,,Rajasthan Royals
459,1312199,2,16,4,JC Buttler,JR Hazlewood,D Padikkal,,1,0,1,0,0,,,,Rajasthan Royals
460,1312199,2,16,5,D Padikkal,JR Hazlewood,JC Buttler,,0,0,0,0,1,D Padikkal,caught,KD Karthik,Rajasthan Royals
461,1312199,2,16,6,SO Hetmyer,JR Hazlewood,JC Buttler,,0,0,0,0,0,,,,Rajasthan Royals
462,1312199,2,17,1,JC Buttler,GJ Maxwell,SO Hetmyer,,1,0,1,0,0,,,,Rajasthan Royals
463,1312199,2,17,2,SO Hetmyer,GJ Maxwell,JC Buttler,,1,0,1,0,0,,,,Rajasthan Royals
464,1312199,2,17,3,JC Buttler,GJ Maxwell,SO Hetmyer,,1,0,1,0,0,,,,Rajasthan Royals
465,1312199,2,17,4,SO Hetmyer,GJ Maxwell,JC Buttler,,1,0,1,0,0,,,,Rajasthan Royals
466,1312199,2,17,5,JC Buttler,GJ Maxwell,SO Hetmyer,,2,0,2,0,0,,,,Rajasthan Royals
467,1312199,2,17,6,JC Buttler,GJ Maxwell,SO Hetmyer,,1,0,1,0,0,,,,Rajasthan Royals
468,1312199,2,18,1,JC Buttler,HV Patel,SO Hetmyer,,6,0,6,0,0,,,,Rajasthan Royals
569,1312198,1,16,1,KD Karthik,Avesh Khan,RM Patidar,,0,0,0,0,0,,,,Royal Challengers Bangalore
570,1312198,1,16,2,KD Karthik,Avesh Khan,RM Patidar,,4,0,4,0,0,,,,Royal Challengers Bangalore
571,1312198,1,16,3,KD Karthik,Avesh Khan,RM Patidar,,4,0,4,0,0,,,,Royal Challengers Bangalore
572,1312198,1,16,4,KD Karthik,Avesh Khan,RM Patidar,wides,0,1,1,0,0,,,,Royal Challengers Bangalore
573,1312198,1,16,5,KD Karthik,Avesh Khan,RM Patidar,,4,0,4,0,0,,,,Royal Challengers Bangalore
574,1312198,1,16,6,KD Karthik,Avesh Khan,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
575,1312198,1,16,7,RM Patidar,Avesh Khan,KD Karthik,,1,0,1,0,0,,,,Royal Challengers Bangalore
576,1312198,1,17,1,RM Patidar,Mohsin Khan,KD Karthik,,0,0,0,0,0,,,,Royal Challengers Bangalore
577,1312198,1,17,2,RM Patidar,Mohsin Khan,KD Karthik,,0,0,0,0,0,,,,Royal Challengers Bangalore
578,1312198,1,17,3,RM Patidar,Mohsin Khan,KD Karthik,,2,0,2,0,0,,,,Royal Challengers Bangalore
579,1312198,1,17,4,RM Patidar,Mohsin Khan,KD Karthik,,6,0,6,0,0,,,,Royal Challengers Bangalore
580,1312198,1,17,5,RM Patidar,Mohsin Khan,KD Karthik,,0,0,0,0,0,,,,Royal Challengers Bangalore
581,1312198,1,17,6,RM Patidar,Mohsin Khan,KD Karthik,,0,0,0,0,0,,,,Royal Challengers Bangalore
582,1312198,1,18,1,KD Karthik,PVD Chameera,RM Patidar,,0,0,0,0,0,,,,Royal Challengers Bangalore
583,1312198,1,18,2,KD Karthik,PVD Chameera,RM Patidar,,6,0,6,0,0,,,,Royal Challengers Bangalore
584,1312198,1,18,3,KD Karthik,PVD Chameera,RM Patidar,,4,0,4,0,0,,,,Royal Challengers Bangalore
585,1312198,1,18,4,KD Karthik,PVD Chameera,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
586,1312198,1,18,5,RM Patidar,PVD Chameera,KD Karthik,,6,0,6,0,0,,,,Royal Challengers Bangalore
587,1312198,1,18,6,RM Patidar,PVD Chameera,KD Karthik,,4,0,4,0,0,,,,Royal Challengers Bangalore
588,1312198,1,19,1,KD Karthik,Avesh Khan,RM Patidar,,2,0,2,0,0,,,,Royal Challengers Bangalore
589,1312198,1,19,2,KD Karthik,Avesh Khan,RM Patidar,,4,0,4,0,0,,,,Royal Challengers Bangalore
590,1312198,1,19,3,KD Karthik,Avesh Khan,RM Patidar,,0,0,0,0,0,,,,Royal Challengers Bangalore
591,1312198,1,19,4,KD Karthik,Avesh Khan,RM Patidar,,0,0,0,0,0,,,,Royal Challengers Bangalore
592,1312198,1,19,5,KD Karthik,Avesh Khan,RM Patidar,wides,0,5,5,0,0,,,,Royal Challengers Bangalore
593,1312198,1,19,6,KD Karthik,Avesh Khan,RM Patidar,,1,0,1,0,0,,,,Royal Challengers Bangalore
594,1312198,1,19,7,RM Patidar,Avesh Khan,KD Karthik,,1,0,1,0,0,,,,Royal Challengers Bangalore
695,1312198,2,16,1,KL Rahul,PWH de Silva,MP Stoinis,,1,0,1,0,0,,,,Lucknow Super Giants
696,1312198,2,16,2,MP Stoinis,PWH de Silva,KL Rahul,,1,0,1,0,0,,,,Lucknow Super Giants
697,1312198,2,16,3,KL Rahul,PWH de Silva,MP Stoinis,,6,0,6,0,0,,,,Lucknow Super Giants
698,1312198,2,16,4,KL Rahul,PWH de Silva,MP Stoinis,,4,0,4,0,0,,,,Lucknow Super Giants
699,1312198,2,16,5,KL Rahul,PWH de Silva,MP Stoinis,,1,0,1,0,0,,,,Lucknow Super Giants
700,1312198,2,16,6,MP Stoinis,PWH de Silva,KL Rahul,,1,0,1,0,0,,,,Lucknow Super Giants
701,1312198,2,17,1,MP Stoinis,HV Patel,KL Rahul,wides,0,1,1,0,0,,,,Lucknow Super Giants
702,1312198,2,17,2,MP Stoinis,HV Patel,KL Rahul,wides,0,5,5,0,0,,,,Lucknow Super Giants
703,1312198,2,17,3,MP Stoinis,HV Patel,KL Rahul,,0,0,0,0,0,,,,Lucknow Super Giants
704,1312198,2,17,4,MP Stoinis,HV Patel,KL Rahul,,0,0,0,0,0,,,,Lucknow Super Giants
705,1312198,2,17,5,MP Stoinis,HV Patel,KL Rahul,,0,0,0,0,1,MP Stoinis,caught,RM Patidar,Lucknow Super Giants
706,1312198,2,17,6,E Lewis,HV Patel,KL Rahul,,1,0,1,0,0,,,,Lucknow Super Giants
707,1312198,2,17,7,KL Rahul,HV Patel,E Lewis,,1,0,1,0,0,,,,Lucknow Super Giants
708,1312198,2,17,8,E Lewis,HV Patel,KL Rahul,,0,0,0,0,0,,,,Lucknow Super Giants
709,1312198,2,18,1,KL Rahul,JR Hazlewood,E Lewis,,0,0,0,0,0,,,,Lucknow Super Giants
710,1312198,2,18,2,KL Rahul,JR Hazlewood,E Lewis,wides,0,1,1,0,0,,,,Lucknow Super Giants
711,1312198,2,18,3,KL Rahul,JR Hazlewood,E Lewis,,1,0,1,0,0,,,,Lucknow Super Giants
712,1312198,2,18,4,E Lewis,JR Hazlewood,KL Rahul,wides,0,1,1,0,0,,,,Lucknow Super Giants
713,1312198,2,18,5,E Lewis,JR Hazlewood,KL Rahul,wides,0,1,1,0,0,,,,Lucknow Super Giants
714,1312198,2,18,6,E Lewis,JR Hazlewood,KL Rahul,byes,0,1,1,0,0,,,,Lucknow Super Giants
715,1312198,2,18,7,KL Rahul,JR Hazlewood,E Lewis,,0,0,0,0,1,KL Rahul,caught,Shahbaz Ahmed,Lucknow Super Giants
716,1312198,2,18,8,KH Pandya,JR Hazlewood,E Lewis,,0,0,0,0,1,KH Pandya,caught and bowled,,Lucknow Super Giants
717,1312198,2,18,9,PVD Chameera,JR Hazlewood,E Lewis,,4,0,4,0,0,,,,Lucknow Super Giants
718,1312198,2,19,1,E Lewis,HV Patel,PVD Chameera,,1,0,1,0,0,,,,Lucknow Super Giants
719,1312198,2,19,2,PVD Chameera,HV Patel,E Lewis,wides,0,1,1,0,0,,,,Lucknow Super Giants
720,1312198,2,19,3,PVD Chameera,HV Patel,E Lewis,,0,0,0,0,0,,,,Lucknow Super Giants
721,1312198,2,19,4,PVD Chameera,HV Patel,E Lewis,,6,0,6,0,0,,,,Lucknow Super Giants
722,1312198,2,19,5,PVD Chameera,HV Patel,E Lewis,,1,0,1,0,0,,,,Lucknow Super Giants
723,1312198,2,19,6,E Lewis,HV Patel,PVD Chameera,,0,0,0,0,0,,,,Lucknow Super Giants
724,1312198,2,19,7,E Lewis,HV Patel,PVD Chameera,,0,0,0,0,0,,,,Lucknow Super Giants
825,1312197,1,16,1,JC Buttler,Yash Dayal,SO Hetmyer,,4,0,4,0,0,,,,Rajasthan Royals
